PATH;VARIABLE_NAME;RELAY_NAME;CB_PATH;TYPE_BT;TYPE_MPU;BOOLEAN;INIT_VALUE;ID_REF;X_POS_I;X_CENTER;X_POS_F;Y_POS_I;Y_CENTER;Y_POS_F
LOCATION, INTERFACE;Li_IVc2CMPhTfpR1;C_M_PH_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var32;120;160;200;1360;1380;1400
LOCATION, INTERFACE;Li_IVc2CMPhTfpR2;C_M_PH_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var33;360;400;440;1360;1380;1400
LOCATION, INTERFACE;Li_IVc2CVtPvTfpR1;C_VT_PV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var34;120;160;200;1440;1460;1480
LOCATION, INTERFACE;Li_IVc2CVtPvTfpR2;C_VT_PV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var35;360;400;440;1440;1460;1480
LOCATION, INTERFACE;Li_IVc2DjSiDfTfpR1;DJ_SI_DF_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var36;120;160;200;1520;1540;1560
LOCATION, INTERFACE;Li_IVc2DjSiDfTfpR2;DJ_SI_DF_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var37;360;400;440;1520;1540;1560
LOCATION, INTERFACE;Li_IVc2QDfCiTfpR1;Q_DF_CI_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var38;120;160;200;1600;1620;1640
LOCATION, INTERFACE;Li_IVc2QDfCiTfpR2;Q_DF_CI_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var39;360;400;440;1600;1620;1640
LOCATION, INTERFACE;Li_IVc2QDfTfpR1;Q_DF_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var40;120;160;200;1680;1700;1720
LOCATION, INTERFACE;Li_IVc2QDfTfpR2;Q_DF_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var41;360;400;440;1680;1700;1720
